price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild
97850,Podbara,54,2.0,grejanje na gas,1,Stan u zgradi,ima lift (1),0,terasa,3,1966.0
154500,Bulevar Oslobođenja,73,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,7,1977.0
187500,Bulevar Evrope,106,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,1977.0
97850,Telep,42,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,1,1977.0
412000,Bulevar Oslobođenja,120,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,4,2012.0
194670,Socijalno,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2015.0
185400,Sremska Kamenica,74,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2020.0
80340,Avijatičarsko Naselje,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2024.0
55620,Avijatičarsko Naselje,27,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0
144200,Grbavica,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
216300,Kej,107,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
64700,Futoški put,33,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",2,2010.0
110000,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",4,2010.0
54500,Novo Naselje,28,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
92700,Tatarsko Brdo,72,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2010.0
61800,Tatarsko Brdo,38,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2010.0
61800,Futoški put,29,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0
126900,Telep,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0
89050,Lipov Gaj,51,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0
147600,Bulevar Oslobođenja,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (2),2,"prilaz za invalide, terasa, recepcija",1,2010.0
207150,Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2022.0
105060,Nova Detelinara,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,2010.0
131840,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2017.0
185400,Adice,99,7.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,2,2020.0
206000,Nova Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,2000.0
340000,Liman 2,86,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,1984.0
99000,Telep,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2022.0
59740,Novo Naselje,35,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,1998.0
84460,Sajmište,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,6,2005.0
101970,Stari Grad,42,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2005.0
108080,Podbara,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
270000,Stari Grad,119,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0
46000,Petrovaradin,27,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0
82500,Bulevar Patrijarha Pavla,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,2008.0
198800,Stari Grad,76,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1900.0
230000,Bulevar Oslobođenja,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (2),1,terasa,4,1900.0
200000,Bulevar Oslobođenja,110,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, podrum",5,2020.0
122000,Nova Detelinara,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2010.0
110000,Socijalno,50,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa, lođa",9,2010.0
173200,Sajmište,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, terasa",1,2020.0
92000,Petrovaradin,89,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"dvorište, terasa",2,2020.0
128750,Telep,77,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
199000,Stari Grad,76,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2020.0
118450,Železnička stanica,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"prilaz za invalide, terasa, lođa",5,2020.0
92499,Petrovaradin,40,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2020.0
126850,Adice,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
512000,Telep,113,5.0,etažno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2020.0
101000,Telep,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0
247200,Novo Naselje,83,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0
136500,Grbavica,49,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,7,2014.0
160700,Novo Naselje,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",3,2014.0
73550,Stari Grad,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2014.0
245000,Podbara,85,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2016.0
711000,Bulevar Evrope,230,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,11,2016.0
540000,Spens,163,5.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terase (3+),2,2000.0
171065,Telep,72,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0
123600,Telep,57,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,1,2000.0
136680,Novo Naselje,81,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2000.0
136990,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,4,2000.0
190550,Stari Grad,101,6.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2000.0
79310,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2005.0
152440,Liman 3,73,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,1970.0
169430,Liman 3,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0
104030,Salajka,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2022.0
70450,Bulevar Oslobođenja,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2000.0
182500,Podbara,70,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,5,2010.0
125580,Podbara,91,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2010.0
99000,Podbara,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, terasa, lođa",1,2010.0
74000,Podbara,29,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
158050,Petrovaradin,93,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,terasa,4,2020.0
328800,Liman 2,100,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
125000,Bulevar Patrijarha Pavla,71,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2020.0
175000,Nova Detelinara,74,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
165000,Bulevar Evrope,82,4.0,grejanje na gas,0,Dupleks,ima lift (1),1,"dvorište, terasa",1,2020.0
125960,Klisa,81,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
149350,Rotkvarija,63,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2020.0
133500,Novo Naselje,72,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1985.0
375950,Rotkvarija,181,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2023.0
89900,Novo Naselje,37,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2015.0
74160,Novo Naselje,41,1.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1986.0
95000,Telep,35,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,2,1986.0
97850,Nova Detelinara,38,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,6,1986.0
136000,Detelinara,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1986.0
164800,Grbavica,66,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1986.0
87550,Novo Naselje,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1990.0
92700,Rotkvarija,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,5,2004.0
41200,Adice,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
50000,Adice,37,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
67980,Stari Grad,30,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1966.0
98500,Nova Detelinara,49,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1993.0
108920,Sajmište,45,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2017.0
200230,Salajka,108,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2017.0
336800,Grbavica,218,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),2,terase (2),5,2017.0
158000,Socijalno,93,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,5,2017.0
79000,Sajmište,32,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,2,1993.0
143000,Nova Detelinara,83,4.0,centralno grejanje,0,Dupleks,ima lift (1),2,terasa,2,1993.0
88580,Tatarsko Brdo,35,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,1,2020.0
79850,Salajka,25,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,3,2022.0
289000,Telep,125,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2023.0
225000,Cara Dušana,90,4.0,etažno grejanje,0,Stan u zgradi,ima lift (2),1,terasa,2,2023.0
252000,Liman 4,97,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"tavan, terase (2)",6,2000.0
107070,Kej,63,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1975.0
118450,Železnička stanica,56,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1980.0
135000,Bulevar Oslobođenja,82,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1971.0
279000,Telep,151,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0
99910,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2022.0
62750,Petrovaradin,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,6,1985.0
95000,Podbara,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2021.0
108000,Sajmište,54,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0
211150,Lipov Gaj,130,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2007.0
89610,Socijalno,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2000.0
94000,Stari Grad,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0
175000,Salajka,68,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2022.0
108000,Socijalno,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0
75000,Petrovaradin,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0
103000,Adice,62,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2013.0
112800,Novo Naselje,57,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",3,1980.0
60500,Novo Naselje,48,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",1,1980.0
246000,Liman 2,102,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2023.0
