,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
43,41200,Sajmište,24,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,2020.0,renovirano
44,73000,Stari Grad,23,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2020.0,novo
45,142660,Tatarsko Brdo,68,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,uobičajeno stanje
46,126690,Grbavica,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,uobičajeno stanje
47,195000,Stari Grad,78,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2000.0,uobičajeno stanje
48,162200,Kej,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1975.0,uobičajeno stanje
49,131430,rare_location,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,2,1975.0,u izgradnji
50,118450,Železnička stanica,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,1970.0,uobičajeno stanje
51,123600,Adice,116,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2017.0,u izgradnji
52,144200,Liman 4,59,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,9,1986.0,uobičajeno stanje
53,123600,Salajka,60,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,4,1986.0,u izgradnji
54,113000,Nova Detelinara,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,2022.0,u izgradnji
55,245000,Stari Grad,94,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2005.0,uobičajeno stanje
56,85000,Bulevar Oslobođenja,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,12,1966.0,uobičajeno stanje
57,97850,Podbara,54,2.0,grejanje na gas,1,Stan u zgradi,ima lift (1),0,terasa,3,1966.0,uobičajeno stanje
58,154500,Bulevar Oslobođenja,73,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,7,1977.0,uobičajeno stanje
59,187500,Bulevar Evrope,106,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,1977.0,novo
60,97850,Telep,42,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,1,1977.0,u izgradnji
61,412000,Bulevar Oslobođenja,120,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,4,2012.0,uobičajeno stanje
62,194670,Socijalno,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2015.0,novo
63,185400,Sremska Kamenica,74,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2020.0,novo
64,80340,Avijatičarsko Naselje,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2024.0,u izgradnji
