,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
622,211000.0,Adice,4,centralno grejanje,terasa,prazno,"telefon, kablovska",120 ,2,Stan u zgradi
623,65000.0,Adice,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska",39 ,visoko,Stan u zgradi
624,82400.0,Adice,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska",50 ,visoko,Stan u zgradi
625,103000.0,Adice,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska",55 ,1,Stan u zgradi
626,270000.0,Železnička stanica,4,centralno grejanje,terasa,prazno,"telefon, kablovska",125 ,2,Stan u zgradi
627,94000.0,Petrovaradin,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska",38 ,2,Stan u zgradi
628,118250.0,Novo Naselje,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska",57 ,3,Stan u zgradi
629,123600.0,Grbavica,2,centralno grejanje,terasa,prazno,"telefon, kablovska",45 ,2,Stan u zgradi
630,70000.0,Centar,0.5,centralno grejanje,terasa,prazno,Kanalizacija,19 ,3,Stan u zgradi
631,97850.0,Železnička stanica,2.5,centralno grejanje,terasa,prazno,Kanalizacija,56 ,1,Stan u zgradi
632,242050.0,Nova Detelinara,3,centralno grejanje,terasa,namešteno,klima,113 ,5,Dupleks
633,56650.0,Klisa,2,podno grejanje,terasa,prazno,"telefon, kablovska",40 ,prizemlje,Stan u zgradi
634,37350.0,Podbara,1,podno grejanje,terasa,prazno,"telefon, kablovska",37 ,suteren,Stan u zgradi
635,154500.0,Okrugićeva,3.5,centralno grejanje,terasa,prazno,"telefon, interfon, klima",82 ,1,Stan u zgradi
636,45000.0,Save Ljubojeva 7,0.5,centralno grejanje,terasa,namešteno,"klima, veš mašina, frižider, rerna, šporet, ležaj, plakar",20 ,5,Stan u zgradi
637,85700.0,Braće Dronjak,2,centralno grejanje,terasa,prazno,"telefon, interfon",64 ,14,Stan u zgradi
638,265000.0,Grbavica,4.5,centralno grejanje,terasa,prazno,"telefon, interfon",124 ,5,Stan u zgradi
639,195700.0,Centar,2,centralno grejanje,terasa,prazno,"telefon, interfon",79 ,1,Stan u zgradi
640,175100.0,Petrovaradin,3.5,centralno grejanje,terasa,prazno,"telefon, interfon",82 ,1,Stan u zgradi
641,123600.0,Nova Detelinara,3,centralno grejanje,terasa,prazno,"telefon, interfon",66 ,1,Stan u zgradi
642,85500.0,Cara Dušana,2,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, Kanalizacija",43 ,1,Stan u zgradi
643,221450.0,Centar,2,centralno grejanje,terasa,prazno,kablovska,64 ,3,Stan u zgradi
644,103000.0,Grbavica,2,centralno grejanje,terasa,prazno,kablovska,38 ,5,Stan u zgradi
645,69530.0,OMLADINSKOG POKRETA,1,centralno grejanje,terasa,prazno,kablovska,31 ,5,Stan u zgradi
646,123600.0,BUL.VOJVODE STEPE,1.5,etažno grejanje,terasa,prazno,kablovska,40 ,5,Stan u zgradi
647,148500.0,BUL.DESPOTA STEFANA,3,centralno grejanje,terasa,prazno,kablovska,74 ,5,Stan u zgradi
648,128750.0,Rotkvarija,2.5,centralno grejanje,terasa,prazno,kablovska,49 ,3,Stan u zgradi
649,69000.0,Detelinara,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",31 ,3,Stan u zgradi
650,115463.0,Veternička Rampa,3,centralno grejanje,lođa,namešteno,"telefon, kablovska, klima",59 ,3,Stan u zgradi
651,193938.0,Detelinara,4,centralno grejanje,"alarm, terase (2)",prazno,"telefon, kablovska, klima, ventilacija",99 ,3,Stan u zgradi
652,132850.0,Popovica,2,centralno grejanje,lođa,prazno,"telefon, kablovska, klima",45 ,3,Stan u zgradi
653,192872.0,Popovica,3,centralno grejanje,lođa,prazno,"telefon, kablovska, klima",71 ,3,Stan u zgradi
654,127720.0,Futoška,2,centralno grejanje,terasa,prazno,"telefon, kablovska",59 ,1,Stan u zgradi
655,95275.0,Rotkvarija,1.5,centralno grejanje,"dvorište, terasa",prazno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet, ležaj, plakar",42 ,4,Stan u zgradi
656,92700.0,Nova Detelinara,2,centralno grejanje,terasa,prazno,"telefon, kablovska",38 ,4,Stan u zgradi
657,179220.0,Bulevar Oslobođenja,3,centralno grejanje,terasa,prazno,"telefon, kablovska",58 ,4,Stan u zgradi
658,69900.0,Telep,1,grejanje na gas,terasa,prazno,klima,27 ,1,Stan u zgradi
659,95200.0,Telep,2,grejanje na gas,terasa,prazno,klima,41 ,1,Stan u zgradi
660,144200.0,Nova Detelinara,4,centralno grejanje,terasa,prazno,klima,96 ,1,Stan u zgradi
661,113300.0,Adice,3,centralno grejanje,terasa,prazno,"telefon, kablovska, TV, klima, kuhinjski elementi, ležaj, plakar",69 ,1,Stan u zgradi
662,106605.0,Podbara,2,grejanje na gas,terasa,prazno,"telefon, kablovska, TV, klima, kuhinjski elementi, ležaj, plakar",42 ,1,Stan u zgradi
663,144000.0,Liman 4,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, TV, klima, kuhinjski elementi, ležaj, plakar",61 ,1,Stan u zgradi
664,152440.0,Nova Detelinara,3,centralno grejanje,terasa,prazno,"telefon, kablovska, TV, klima, kuhinjski elementi, ležaj, plakar",66 ,1,Stan u zgradi
665,128750.0,Telep,3.5,grejanje na gas,"dvorište, terasa",prazno,"telefon, kablovska, plakar",77 ,visoko,Stan u zgradi
666,126000.0,Petrovaradin,2.5,grejanje na gas,terasa,prazno,"telefon, kablovska, plakar",68 ,visoko,Stan u zgradi
667,81370.0,Telep,1.5,grejanje na gas,terasa,prazno,"telefon, kablovska, plakar",34 ,3,Stan u zgradi
668,207000.0,Lipov Gaj,4,podno grejanje,"dvorište, terase (2), lođa",prazno,"telefon, kablovska",134 ,2,Stan u zgradi
669,174070.0,Gagarinova,3.5,centralno grejanje,"terasa, lođa",prazno,"telefon, kablovska, klima",69 ,6,Stan u zgradi
670,144500.0,Centar,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",61 ,prizemlje,Stan u zgradi
671,144200.0,Centar,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",58 ,visoko,Stan u zgradi
672,1.0,Riblja Pijaca,0.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",22 ,2,Stan u zgradi
673,94560.0,Sajlovo,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",54 ,1,Stan u zgradi
674,68600.0,Sajlovo,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",37 ,1,Stan u zgradi
675,108080.0,Podbara,2,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",44 ,1,Stan u zgradi
676,78900.0,Betanija,1.5,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",32 ,1,Stan u zgradi
677,174100.0,GAGARINOVA,2.5,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",69 ,1,Stan u zgradi
678,148300.0,Savina,3,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",80 ,4,Stan u zgradi
679,77250.0,Telep,1.5,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",33 ,3,Stan u zgradi
680,119850.0,Novo Naselje,3,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",80 ,6,Stan u zgradi
681,122500.0,Novo Naselje,3,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",82 ,6,Stan u zgradi
682,141000.0,Novo Naselje,4,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",94 ,5,Stan u zgradi
683,210100.0,Centar,2.5,centralno grejanje,terasa,namešteno,"telefon, kablovska, klima",80 ,2,Stan u zgradi
684,193640.0,Betanija,3,centralno grejanje,terase (2),namešteno,"telefon, kablovska, klima",83 ,3,Stan u zgradi
685,172000.0,Grbavica,3,grejanje na gas,terase (2),namešteno,"TV, veš mašina, kuhinjski elementi, frižider, rerna, šporet, plakar",73 ,1,Stan u zgradi
686,236900.0,Trg Mladenaca,3,centralno grejanje,terase (2),namešteno,"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, ležaj, plakar, ugradni plakar",67 ,5,Stan u zgradi
687,92700.0,Detelinara,2,centralno grejanje,terase (2),namešteno,"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, ležaj, plakar, ugradni plakar",47 ,2,Stan u zgradi
688,317240.0,Centar,4,centralno grejanje,terasa,prazno,"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, ležaj, plakar, ugradni plakar",100 ,3,Stan u zgradi
689,146800.0,Lipov Gaj,3,podno grejanje,"dvorište, terasa, lođa",prazno,"telefon, kablovska",95 ,2,Stan u zgradi
690,162470.0,Bulevar Evrope,4,centralno grejanje,terasa,prazno,"telefon, kablovska",79 ,5,Stan u zgradi
691,217000.0,Bulevar Evrope,4,centralno grejanje,terasa,prazno,"telefon, kablovska",105 ,5,Stan u zgradi
692,513900.0,Bulevar Evrope,3,centralno grejanje,terasa,prazno,"telefon, kablovska",349 ,visoko,Stan u zgradi
693,103000.0,Salajka,2,centralno grejanje,terasa,prazno,"telefon, kablovska",44 ,visoko,Stan u zgradi
694,97730.0,Telep,1.5,centralno grejanje,terasa,prazno,"telefon, kablovska",33 ,2,Stan u zgradi
695,82800.0,Detelinara,2.5,centralno grejanje,terasa,polunamešteno,"kablovska, internet, interfon, klima",46 ,1,Stan u zgradi
696,119480.0,Salajka,2,grejanje na gas,terasa,polunamešteno,"kablovska, internet, interfon, klima",40 ,1,Stan u zgradi
697,159650.0,BATE BRKICA,4,centralno grejanje,terasa,polunamešteno,"kablovska, internet, interfon, klima",83 ,1,Stan u zgradi
698,126000.0,Kornelija Stankovića,3,centralno grejanje,"terasa, lođa",prazno,"kablovska, internet, interfon, klima",70 ,2,Stan u zgradi
699,74160.0,Bulevar Patrijarha Pavla (Somborski Bulevar),1.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima",32 ,prizemlje,Stan u zgradi
700,82400.0,Salajka,2,grejanje na gas,terasa,prazno,"kablovska, internet, interfon, klima",45 ,1,Stan u zgradi
701,117000.0,Bulevar Evrope,1.5,centralno grejanje,terasa,namešteno,"kablovska, internet, interfon, klima",49 ,1,Stan u zgradi
702,108150.0,Detelinarska Pijaca,2,centralno grejanje,"tavan, terasa",namešteno,kuhinjski elementi,51 ,6,Stan u zgradi
703,236900.0,Centar,3,centralno grejanje,"tavan, terasa",namešteno,kuhinjski elementi,78 ,2,Stan u zgradi
704,186900.0,Bulevar Evrope,3,centralno grejanje,terasa,prazno,kuhinjski elementi,73 ,2,Stan u zgradi
705,73200.0,Bulevar Evrope,1,centralno grejanje,terasa,prazno,kuhinjski elementi,31 ,3,Stan u zgradi
706,95200.0,Bulevar Evrope,2,centralno grejanje,terasa,prazno,kuhinjski elementi,37 ,3,Stan u zgradi
707,64780.0,Bulevar Evrope,0.5,centralno grejanje,terasa,prazno,kuhinjski elementi,27 ,3,Stan u zgradi
708,94400.0,Bulevar Evrope,2,centralno grejanje,terasa,prazno,kuhinjski elementi,40 ,3,Stan u zgradi
709,64890.0,Kopernikova,0.5,centralno grejanje,terasa,namešteno,"telefon, internet, interfon, klima",24 ,visoko,Stan u zgradi
710,130700.0,Adamovićevo Naselje,2.5,centralno grejanje,terasa,namešteno,"telefon, internet, interfon, klima",49 ,2,Stan u zgradi
711,190550.0,Klisa,4,grejanje na gas,terasa,namešteno,"telefon, kablovska, klima",83 ,prizemlje,Stan u kući
712,123600.0,Veternička Rampa,3.5,grejanje na gas,terasa,namešteno,"telefon, kablovska, klima",72 ,1,Stan u zgradi
713,82400.0,Novo Naselje,2,grejanje na gas,terasa,namešteno,kablovska,40 ,5,Stan u zgradi
714,118450.0,Nova Detelinara,2.5,grejanje na gas,terasa,namešteno,kablovska,44 ,2,Stan u zgradi
715,74160.0,Nova Detelinara,0.5,centralno grejanje,terasa,prazno,"telefon, kablovska",27 ,4,Stan u zgradi
716,115500.0,Telep,1.5,grejanje na gas,terasa,prazno,"telefon, kablovska",47 ,prizemlje,Stan u zgradi
717,158050.0,Petrovaradin,3.5,grejanje na gas,terasa,prazno,"telefon, kablovska",93 ,4,Stan u zgradi
718,123600.0,Sajmište,3,grejanje na gas,terasa,prazno,"telefon, kablovska",58 ,1,Stan u zgradi
719,109700.0,629,4,etažno grejanje,terasa,prazno,"telefon, kablovska",71 ,1,Stan u zgradi
720,100000.0,629,4,etažno grejanje,terasa,prazno,"telefon, kablovska",67 ,1,Stan u zgradi
721,169950.0,Liman 2,3,centralno grejanje,terasa,prazno,"telefon, kablovska",78 ,10,Stan u zgradi
722,210000.0,Centar,3,centralno grejanje,terasa,prazno,"telefon, kablovska",80 ,2,Stan u zgradi
723,411000.0,Rotkvarija,5,centralno grejanje,terasa,prazno,"telefon, kablovska",125 ,1,Stan u zgradi
724,111240.0,Adice,3,centralno grejanje,terasa,prazno,"telefon, kablovska",72 ,1,Stan u zgradi
725,146225.0,Petrovaradin,3,centralno grejanje,terasa,prazno,"telefon, kablovska",72 ,3,Stan u zgradi
726,164800.0,Petrovaradin,4,centralno grejanje,terasa,prazno,"telefon, kablovska",80 ,4,Stan u zgradi
727,133190.0,Klisa,4,centralno grejanje,terasa,prazno,"telefon, kablovska",91 ,visoko,Stan u zgradi
728,181280.0,Salajka,4,centralno grejanje,terasa,prazno,"telefon, kablovska",89 ,4,Stan u zgradi
729,220340.0,Tatarsko Brdo,4,centralno grejanje,terasa,prazno,"telefon, kablovska",95 ,1,Stan u zgradi
730,111240.0,Adice,3,centralno grejanje,terasa,prazno,"telefon, kablovska",72 ,2,Stan u zgradi
731,130000.0,Livade bb,4,centralno grejanje,"terase (2), lođa",prazno,"telefon, kablovska",83 ,2,Stan u zgradi
732,206000.0,Centar,3,centralno grejanje,terasa,namešteno,"veš mašina, plakar",80 ,2,Stan u zgradi
733,185760.0,Telep,4,centralno grejanje,terasa,prazno,"telefon, interfon",86 ,2,Stan u zgradi
734,120500.0,Novo Naselje,2.5,centralno grejanje,terasa,polunamešteno,klima,52 ,3,Stan u zgradi
