,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
1718,125500.0,Socijalno,2,centralno grejanje,terasa,1,7,46 ,1,Stan u zgradi
1719,198000.0,Riblja Pijaca,3,centralno grejanje,terasa,1,7,90 ,1,Stan u zgradi
1720,121450.0,Adice,4,centralno grejanje,terasa,1,7,81 ,visoko,Stan u zgradi
1721,132000.0,sestara ninkovic,2,centralno grejanje,terasa,3,7,46 ,visoko,Stan u zgradi
1722,127310.0,Šumadijska,2,centralno grejanje,terasa,3,7,46 ,2,Stan u zgradi
1723,128750.0,Nova Detelinara,2,centralno grejanje,terasa,3,7,44 ,2,Stan u zgradi
1724,197150.0,Alibegovac,3.5,centralno grejanje,terasa,3,7,132 ,1,Stan u zgradi
1725,61000.0,Adice,1.5,grejanje na gas,terasa,3,2,28 ,2,Stan u zgradi
1726,123600.0,bogdana garabantina,2,centralno grejanje,terasa,1,2,56 ,visoko,Stan u zgradi
1727,320000.0,Socijalno,4,centralno grejanje,terasa,1,1,94 ,2,Stan u zgradi
1728,149349.0,Železnička stanica,3,grejanje na gas,"prilaz za invalide, terasa",1,3,58 ,3,Stan u zgradi
1729,103000.0,Centar,2,centralno grejanje,terasa,3,5,39 ,2,Stan u zgradi
1730,128750.0,Bistrica,3,centralno grejanje,terasa,3,2,70 ,3,Stan u zgradi
1731,77250.0,Telep,1.5,grejanje na gas,terasa,3,2,33 ,3,Stan u zgradi
1732,126000.0,Novi Majur,3,grejanje na gas,terasa,3,2,64 ,3,Stan u zgradi
1733,99910.0,Liman 3,1.5,centralno grejanje,terasa,3,3,38 ,1,Stan u zgradi
1734,180250.0,Centar,2.5,centralno grejanje,terasa,2,4,65 ,visoko,Stan u zgradi
1735,122000.0,Kraljevića Marka,2,centralno grejanje,"podrum, terasa, lođa",3,3,53 ,1,Stan u zgradi
1736,128750.0,Podbara,2,centralno grejanje,terasa,3,3,44 ,4,Stan u zgradi
1737,118450.0,Detelinara,2,centralno grejanje,terasa,3,2,44 ,2,Stan u zgradi
1738,84000.0,Šarengrad,2,centralno grejanje,lođa,3,2,45 ,visoko,Stan u zgradi
1739,91400.0,621,1.5,etažno grejanje,lođa,3,2,36 ,visoko,Stan u zgradi
1740,149350.0,Centar,3,grejanje na gas,terasa,3,2,58 ,3,Stan u zgradi
1741,195420.0,Lipov Gaj,3,grejanje na gas,terasa,1,13,68 ,2,Stan u zgradi
1742,90650.0,Novi Majur,2,grejanje na gas,terasa,1,13,42 ,3,Stan u zgradi
1743,99910.0,Liman 3,1.5,centralno grejanje,terasa,3,13,38 ,1,Stan u zgradi
1744,58710.0,Beogradski Kej,1.5,centralno grejanje,terasa,3,13,38 ,suteren,Stan u zgradi
1745,32960.0,Veternička Rampa,0.5,grejanje na struju,terasa,3,13,16 ,prizemlje,Stan u zgradi
1746,149350.0,Železnička stanica,3,grejanje na gas,terasa,3,13,58 ,3,Stan u zgradi
1747,99910.0,Liman 3,1.5,centralno grejanje,terasa,3,13,38 ,1,Stan u zgradi
1748,99910.0,Liman 3,1.5,centralno grejanje,terasa,3,13,38 ,1,Stan u zgradi
1749,130810.0,Šonsi,2.5,centralno grejanje,terasa,3,13,59 ,4,Stan u zgradi
1750,66950.0,Grbavica,1.5,centralno grejanje,terasa,3,13,30 ,suteren,Stan u zgradi
1751,92700.0,Bulevar Oslobođenja,1,centralno grejanje,terasa,3,13,34 ,4,Stan u zgradi
1752,455000.0,Stari Grad,6.5,centralno grejanje,terasa,3,13,144 ,4,Stan u zgradi
1753,65000.0,Sremska Kamenica,2,grejanje na struju,terasa,3,13,51 ,1,Stan u zgradi
1754,139049.0,Spens,2,centralno grejanje,terasa,3,13,55 ,4,Stan u zgradi
1755,103000.0,Bul.Cara Lazara,2.5,centralno grejanje,terasa,1,3,49 ,7,Stan u zgradi
1756,155740.0,Vuka Karadzića,2.5,centralno grejanje,terasa,3,2,54 ,visoko,Stan u zgradi
1757,37500.0,Adice,1.5,grejanje na struju,terase (2),3,2,31 ,prizemlje,Stan u zgradi
1758,35000.0,Adice,0.5,grejanje na struju,terasa,3,2,21 ,prizemlje,Stan u zgradi
1759,144200.0,Bulevar Oslobođenja,2,centralno grejanje,terasa,3,2,50 ,7,Stan u zgradi
1760,128110.0,Telep,2.5,centralno grejanje,terasa,3,2,58 ,1,Stan u zgradi
1761,92700.0,Stara Detelinara,2,centralno grejanje,terasa,3,2,53 ,4,Stan u zgradi
1762,185400.0,Spens,2.5,centralno grejanje,terasa,3,2,73 ,3,Stan u zgradi
1763,154498.0,Liman 2,2,centralno grejanje,terasa,3,2,50 ,4,Stan u zgradi
1764,169950.0,Bulevar Evrope,3,centralno grejanje,terasa,3,2,68 ,2,Stan u zgradi
1765,65000.0,Centar,0.5,centralno grejanje,terasa,3,2,19 ,prizemlje,Stan u zgradi
1766,80000.0,Liman 1,1,centralno grejanje,terasa,3,2,30 ,2,Stan u zgradi
1767,75000.0,Nova Detelinara,1,centralno grejanje,terasa,3,2,30 ,1,Stan u zgradi
1768,78200.0,Bulevar Oslobođenja,0.5,centralno grejanje,terasa,3,2,25 ,4,Stan u zgradi
1769,92700.0,Bulevar Oslobođenja,1,centralno grejanje,terasa,3,2,34 ,4,Stan u zgradi
1770,87100.0,Petrovaradin,2,etažno grejanje,terasa,3,2,47 ,visoko,Stan u zgradi
1771,90380.0,Novo Naselje,1.5,etažno grejanje,terasa,3,2,39 ,3,Stan u zgradi
1772,69000.0,Veternik,1.5,grejanje na gas,terasa,1,3,27 ,prizemlje,Stan u zgradi
1773,139000.0,Liman 3,3,centralno grejanje,terasa,3,3,61 ,16,Stan u zgradi
1774,192000.0,Centar,2,centralno grejanje,terasa,3,3,41 ,4,Stan u zgradi
1775,139000.0,Grbavica,2,centralno grejanje,terasa,3,3,60 ,2,Stan u zgradi
1776,133900.0,Bulevar Evrope,3,grejanje na gas,terasa,3,3,62 ,1,Stan u zgradi
1777,111400.0,Podbara,2,centralno grejanje,terasa,3,3,42 ,2,Stan u zgradi
1778,84750.0,Avijatičarsko Naselje,1.5,centralno grejanje,terasa,3,3,47 ,3,Stan u zgradi
1779,100000.0,Veternička Rampa,3.5,centralno grejanje,terasa,3,3,71 ,1,Stan u zgradi
1780,128750.0,Podbara,2,centralno grejanje,terasa,3,3,51 ,prizemlje,Stan u zgradi
1781,247200.0,Bulevar Oslobođenja,3.5,centralno grejanje,terasa,3,3,96 ,4,Stan u zgradi
1782,231750.0,Sajmište,3,centralno grejanje,terasa,3,3,72 ,2,Stan u zgradi
1783,85000.0,Centar,0.5,centralno grejanje,terasa,3,3,25 ,2,Stan u zgradi
1784,154500.0,Železnička stanica,4,centralno grejanje,terasa,3,3,72 ,5,Stan u zgradi
1785,128750.0,Bulevar Oslobođenja,2.5,centralno grejanje,terasa,3,3,49 ,3,Stan u zgradi
1786,75200.0,Nova Detelinara,2,centralno grejanje,terasa,3,3,41 ,5,Stan u zgradi
1787,122700.0,Podbara,1.5,grejanje na gas,terasa,3,3,47 ,1,Stan u zgradi
1788,100200.0,Bulevar Oslobođenja,1.5,centralno grejanje,terasa,3,3,38 ,1,Stan u zgradi
1789,108350.0,Bulevar Oslobođenja,1.5,centralno grejanje,terasa,3,3,42 ,2,Stan u zgradi
1790,135960.0,Petrovaradin,2,centralno grejanje,terasa,3,3,60 ,2,Stan u zgradi
1791,123600.0,Grbavica,2,centralno grejanje,terasa,1,3,62 ,5,Stan u zgradi
1792,144200.0,Grbavica,3,centralno grejanje,terasa,2,9,70 ,5,Stan u zgradi
1793,118450.0,Detelinara,2,centralno grejanje,terasa,1,9,44 ,2,Stan u zgradi
1794,300000.0,Socijalno,5,centralno grejanje,terasa,1,9,133 ,3,Stan u zgradi
1795,133900.0,Grbavica,2,centralno grejanje,terasa,1,9,52 ,2,Stan u zgradi
1796,66950.0,Grbavica,1.5,centralno grejanje,terasa,3,9,30 ,suteren,Stan u zgradi
1797,108150.0,Nova Detelinara,2,centralno grejanje,terasa,3,9,53 ,visoko,Stan u zgradi
1798,381100.0,Bulevar,4,centralno grejanje,terasa,1,2,127 ,1,Stan u zgradi
1799,231750.0,Petrovaradin,4,grejanje na gas,terasa,1,2,86 ,4,Stan u zgradi
1800,118450.0,laze lazarevica,2,centralno grejanje,terasa,1,2,42 ,2,Stan u zgradi
1801,149350.0,Železnička stanica,2.5,centralno grejanje,terasa,3,2,58 ,3,Stan u zgradi
1802,157250.0,Djordja Nikšića Johana,2.5,centralno grejanje,terasa,3,2,58 ,1,Stan u zgradi
1803,89000.0,Đerđa Molnara,2,centralno grejanje,terasa,3,2,56 ,1,Stan u zgradi
1804,77250.0,Telep,2,centralno grejanje,terasa,1,2,33 ,3,Stan u zgradi
1805,118450.0,Detelinara,2,centralno grejanje,terasa,1,2,44 ,2,Stan u zgradi
1806,104000.0,koste racina,2,centralno grejanje,terasa,3,2,47 ,3,Stan u zgradi
1807,93090.0,Centar,1.5,centralno grejanje,terasa,3,2,27 ,visoko,Stan u zgradi
1808,115000.0,toplice milana,2,centralno grejanje,terasa,1,2,38 ,1,Stan u zgradi
1809,74270.0,Nova Detelinara,1,centralno grejanje,terasa,1,2,28 ,4,Stan u zgradi
1810,61000.0,Adice,1.5,grejanje na gas,terasa,1,2,28 ,2,Stan u zgradi
1811,206000.0,Novo Naselje,3,centralno grejanje,terasa,1,2,90 ,1,Stan u zgradi
1812,206000.0,Šarengrad,3,centralno grejanje,terasa,1,2,90 ,1,Stan u zgradi
1813,375950.0,Socijalno,5,centralno grejanje,terasa,1,2,181 ,3,Stan u zgradi
1814,212000.0,Futoška,4.5,centralno grejanje,podrum,1,2,110 ,5,Stan u zgradi
1815,76800.0,Telep,0.5,grejanje na gas,terasa,1,1,32 ,1,Stan u zgradi
1816,101250.0,Telep,2,grejanje na gas,terasa,1,1,45 ,visoko,Stan u zgradi
1817,498000.0,Telep,5,grejanje na gas,"podrum, terasa",1,1,273 ,4,Stan u zgradi
1818,72944.0,Vuka Karadžića,0.5,centralno grejanje,"podrum, terasa",1,2,26 ,visoko,Stan u zgradi
1819,149600.0,Sremska Kamenica,3,centralno grejanje,terasa,1,2,83 ,2,Stan u zgradi
1820,149600.0,Sremska Kamenica,3,centralno grejanje,terasa,1,2,83 ,1,Stan u zgradi
1821,149600.0,Sremska Kamenica,3,centralno grejanje,terasa,1,2,83 ,2,Stan u zgradi
1822,245000.0,Nova Detelinara,3,centralno grejanje,terasa,1,2,113 ,5,Stan u zgradi
1823,149400.0,Novo Naselje,3,centralno grejanje,terasa,1,2,64 ,visoko,Stan u zgradi
1824,179100.0,Bulevar Patrijarha Pavla (Somborski Bulevar),2.5,centralno grejanje,terasa,1,2,56 ,2,Stan u zgradi
1825,87800.0,Liman 3,2,centralno grejanje,terasa,1,2,39 ,visoko,Stan u zgradi
1826,175000.0,Rotkvarija,2,centralno grejanje,terasa,1,2,60 ,2,Stan u zgradi
1827,59000.0,Veternik,2,grejanje na gas,terasa,3,2,40 ,visoko,Dvorišni stan
1828,159628.0,Veternička Rampa,4,grejanje na gas,terasa,3,2,99 ,1,Stan u zgradi
1829,73078.0,Adice,2,grejanje na gas,terasa,3,2,43 ,1,Stan u zgradi
1830,113300.0,Bulevar Evrope,1.5,grejanje na gas,terasa,1,2,35 ,3,Stan u zgradi
1831,97850.0,puskinova,1.5,centralno grejanje,terasa,3,2,35 ,2,Stan u zgradi
1832,77250.0,Salajka,0.5,grejanje na gas,terasa,3,2,27 ,3,Stan u zgradi
1833,110000.0,Cara Dušana,2.5,grejanje na gas,terasa,3,2,49 ,2,Stan u zgradi
1834,72100.0,Salajka,1,grejanje na gas,terasa,3,2,30 ,1,Stan u zgradi
1835,85500.0,patrijarha pavla,1.5,centralno grejanje,terasa,3,2,35 ,1,Stan u zgradi
1836,59740.0,Salajka,1.5,grejanje na gas,terasa,3,2,27 ,3,Stan u zgradi
1837,125660.0,Cara Dušana,2,centralno grejanje,terasa,3,2,59 ,prizemlje,Stan u zgradi
1838,156360.0,Telep,2.5,grejanje na gas,terasa,3,2,69 ,3,Stan u zgradi
1839,111240.0,Salajka,1.5,grejanje na gas,terasa,3,2,36 ,1,Stan u zgradi
1840,71070.0,Detelinara,2,centralno grejanje,terasa,3,2,47 ,visoko,Stan u zgradi
1841,65800.0,Nova Detelinara,0.5,centralno grejanje,terasa,1,1,24 ,4,Stan u zgradi
1842,70000.0,Telep,1.5,centralno grejanje,terasa,1,1,36 ,2,Stan u zgradi
1843,133900.0,Nova Detelinara,3,centralno grejanje,terasa,1,1,72 ,6,Stan u zgradi
1844,325000.0,Sajmište,4,centralno grejanje,terasa,1,1,123 ,5,Stan u zgradi
1845,169950.0,Grbavica,3,centralno grejanje,terasa,1,1,68 ,5,Stan u zgradi
1846,134000.0,Adamovićevo Naselje,3,grejanje na gas,terasa,1,1,40 ,6,Stan u zgradi
1847,130000.0,Centar,2,grejanje na gas,terasa,1,1,49 ,2,Stan u zgradi
