price,surface,rooms,furniture,garage,floor,yearOfBuild,"alarm, terasa","dvorište, terasa",lođa,podrum,"podrum, terasa","prilaz za invalide, dvorište, terasa","prilaz za invalide, terasa",terasa,"terasa, lođa",terase (2),Adice,Avijatičarsko Naselje,Bulevar Evrope,Bulevar Oslobođenja,Bulevar Patrijarha Pavla,Cara Dušana,Detelinara,Futoški put,Grbavica,Kej,Klisa,Liman,Liman 2,Liman 3,Liman 4,Lipov Gaj,Nova Detelinara,Novo Naselje,Petrovaradin,Podbara,Rotkvarija,Sajmište,Salajka,Socijalno,Spens,Sremska Kamenica,Stara Detelinara,Stari Grad,Tatarsko Brdo,Telep,Veternik,rare_location,Železnička stanica,centralno grejanje,etažno grejanje,grejanje na gas,grejanje na struju,norveški radijatori,podno grejanje,Dvorišni stan,Penthaus,Salonac,Stan u kući,Stan u zgradi,missing,ima lift (2),missing,novo,održavano,potrebno renoviranje,renovirano,u izgradnji,uobičajeno stanje
255750,95,4.0,0,0,3,2023.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
105060,68,3.0,0,0,1,2023.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
103000,44,2.0,1,0,3,2010.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
167000,69,3.0,1,0,6,1970.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
145000,69,3.0,0,0,1,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
115000,43,2.0,2,0,1,2020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
118900,53,3.0,0,0,1,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
119000,47,2.0,0,0,2,2020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
185400,70,3.0,1,0,5,2020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
92700,55,2.0,0,0,1,2020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
